166,2010,ILLINOIS,CORN,ACRES PLANTED,12600000
167,2009,ILLINOIS,CORN,ACRES PLANTED,12000000
168,2008,ILLINOIS,CORN,ACRES PLANTED,12100000
169,2007,ILLINOIS,CORN,ACRES PLANTED,13200000
170,2006,ILLINOIS,CORN,ACRES PLANTED,11300000
171,2005,ILLINOIS,CORN,ACRES PLANTED,12100000
172,2004,ILLINOIS,CORN,ACRES PLANTED,11750000
173,2003,ILLINOIS,CORN,ACRES PLANTED,11200000
174,2002,ILLINOIS,CORN,ACRES PLANTED,11100000
175,2001,ILLINOIS,CORN,ACRES PLANTED,11000000
176,2000,ILLINOIS,CORN,ACRES PLANTED,11200000
177,2015,INDIANA,CORN,ACRES PLANTED,5650000
178,2014,INDIANA,CORN,ACRES PLANTED,5900000
179,2013,INDIANA,CORN,ACRES PLANTED,6000000
180,2012,INDIANA,CORN,ACRES PLANTED,6250000
181,2011,INDIANA,CORN,ACRES PLANTED,5900000
182,2010,INDIANA,CORN,ACRES PLANTED,5900000
183,2009,INDIANA,CORN,ACRES PLANTED,5600000
184,2008,INDIANA,CORN,ACRES PLANTED,5700000
185,2007,INDIANA,CORN,ACRES PLANTED,6500000
186,2006,INDIANA,CORN,ACRES PLANTED,5500000
187,2005,INDIANA,CORN,ACRES PLANTED,5900000
188,2004,INDIANA,CORN,ACRES PLANTED,5700000
189,2003,INDIANA,CORN,ACRES PLANTED,5600000
190,2002,INDIANA,CORN,ACRES PLANTED,5400000
191,2001,INDIANA,CORN,ACRES PLANTED,5800000
192,2000,INDIANA,CORN,ACRES PLANTED,5700000
193,2015,IOWA,CORN,ACRES PLANTED,13500000
194,2014,IOWA,CORN,ACRES PLANTED,13700000
195,2013,IOWA,CORN,ACRES PLANTED,13600000
196,2012,IOWA,CORN,ACRES PLANTED,14200000
197,2011,IOWA,CORN,ACRES PLANTED,14100000
198,2010,IOWA,CORN,ACRES PLANTED,13400000
199,2009,IOWA,CORN,ACRES PLANTED,13600000
200,2008,IOWA,CORN,ACRES PLANTED,13300000
201,2007,IOWA,CORN,ACRES PLANTED,14200000
202,2006,IOWA,CORN,ACRES PLANTED,12600000
203,2005,IOWA,CORN,ACRES PLANTED,12800000
204,2004,IOWA,CORN,ACRES PLANTED,12700000
205,2003,IOWA,CORN,ACRES PLANTED,12300000
206,2002,IOWA,CORN,ACRES PLANTED,12200000
207,2001,IOWA,CORN,ACRES PLANTED,11700000
208,2000,IOWA,CORN,ACRES PLANTED,12300000
209,2015,KANSAS,CORN,ACRES PLANTED,4150000
210,2014,KANSAS,CORN,ACRES PLANTED,4050000
211,2013,KANSAS,CORN,ACRES PLANTED,4300000
212,2012,KANSAS,CORN,ACRES PLANTED,4700000
213,2011,KANSAS,CORN,ACRES PLANTED,4900000
214,2010,KANSAS,CORN,ACRES PLANTED,4850000
215,2009,KANSAS,CORN,ACRES PLANTED,4100000
216,2008,KANSAS,CORN,ACRES PLANTED,3850000
217,2007,KANSAS,CORN,ACRES PLANTED,3900000
218,2006,KANSAS,CORN,ACRES PLANTED,3350000
219,2005,KANSAS,CORN,ACRES PLANTED,3650000
220,2004,KANSAS,CORN,ACRES PLANTED,3100000
221,2003,KANSAS,CORN,ACRES PLANTED,2900000
222,2002,KANSAS,CORN,ACRES PLANTED,3250000
223,2001,KANSAS,CORN,ACRES PLANTED,3450000
224,2000,KANSAS,CORN,ACRES PLANTED,3450000
225,2015,KENTUCKY,CORN,ACRES PLANTED,1400000
226,2014,KENTUCKY,CORN,ACRES PLANTED,1520000
227,2013,KENTUCKY,CORN,ACRES PLANTED,1530000
228,2012,KENTUCKY,CORN,ACRES PLANTED,1650000
229,2011,KENTUCKY,CORN,ACRES PLANTED,1380000
230,2010,KENTUCKY,CORN,ACRES PLANTED,1340000
231,2009,KENTUCKY,CORN,ACRES PLANTED,1220000
232,2008,KENTUCKY,CORN,ACRES PLANTED,1210000
233,2007,KENTUCKY,CORN,ACRES PLANTED,1440000
234,2006,KENTUCKY,CORN,ACRES PLANTED,1120000
235,2005,KENTUCKY,CORN,ACRES PLANTED,1250000
236,2004,KENTUCKY,CORN,ACRES PLANTED,1210000
237,2003,KENTUCKY,CORN,ACRES PLANTED,1170000
238,2002,KENTUCKY,CORN,ACRES PLANTED,1160000
239,2001,KENTUCKY,CORN,ACRES PLANTED,1200000
240,2000,KENTUCKY,CORN,ACRES PLANTED,1330000
241,2015,LOUISIANA,CORN,ACRES PLANTED,400000
242,2014,LOUISIANA,CORN,ACRES PLANTED,400000
243,2013,LOUISIANA,CORN,ACRES PLANTED,680000
244,2012,LOUISIANA,CORN,ACRES PLANTED,540000
245,2011,LOUISIANA,CORN,ACRES PLANTED,580000
246,2010,LOUISIANA,CORN,ACRES PLANTED,510000
247,2009,LOUISIANA,CORN,ACRES PLANTED,630000
248,2008,LOUISIANA,CORN,ACRES PLANTED,520000
249,2007,LOUISIANA,CORN,ACRES PLANTED,740000
250,2006,LOUISIANA,CORN,ACRES PLANTED,300000
251,2005,LOUISIANA,CORN,ACRES PLANTED,340000
252,2004,LOUISIANA,CORN,ACRES PLANTED,420000
253,2003,LOUISIANA,CORN,ACRES PLANTED,520000
254,2002,LOUISIANA,CORN,ACRES PLANTED,580000
255,2001,LOUISIANA,CORN,ACRES PLANTED,315000
256,2000,LOUISIANA,CORN,ACRES PLANTED,380000
257,2015,MAINE,CORN,ACRES PLANTED,31000
258,2014,MAINE,CORN,ACRES PLANTED,31000
259,2013,MAINE,CORN,ACRES PLANTED,31000
260,2012,MAINE,CORN,ACRES PLANTED,30000
261,2011,MAINE,CORN,ACRES PLANTED,29000
262,2010,MAINE,CORN,ACRES PLANTED,28000
263,2009,MAINE,CORN,ACRES PLANTED,28000
264,2008,MAINE,CORN,ACRES PLANTED,29000
265,2007,MAINE,CORN,ACRES PLANTED,28000
266,2006,MAINE,CORN,ACRES PLANTED,26000
267,2005,MAINE,CORN,ACRES PLANTED,26000
268,2004,MAINE,CORN,ACRES PLANTED,28000
